,fec_id,name,state,district,party,office,incumbent_challenge,candidate_status,bioguide_id,ballotpedia_id,govtrack_id,party_simple,key,ballotpedia,twitter_name,twitter_id,twitter_status_tweet,twitter_status_name,twitter_status_id
4211,H2TX15138,"RAMIREZ, RUBEN",TX,15,DEMOCRATIC PARTY,House,Challenger,C,,,,Democrat,ruben  ramirez,https://ballotpedia.org/Ruben_Ramirez,,,,,
4212,H0VA07109,"RAMIREZ, TINA MARIE MRS.",VA,7,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,tina  ramirez,,,,,,
4213,H2NY11124,"RAMOS DEBARROS, BRITTANY",NY,11,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,brittany  debarros,,,,,,
4214,H2IL02198,"RAMOS, ASHLEY",IL,2,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,ashley  ramos,https://ballotpedia.org/Ashley_Ramos,,,,,
4216,H0AZ05185,"RAMOS, JAVIER GARCIA MR.",AZ,5,DEMOCRATIC PARTY,House,Challenger,C,,,,Democrat,javier  ramos,https://ballotpedia.org/Javier_Garcia_Ramos,ramosaz5,1236122354285072385,,,
4217,H2CA01243,"RAMOS, JONATHON ANGEL",CA,1,FEDERALIST,House,Challenger,N,,,,Other,jonathon  ramos,,,,,,
4218,H2IL11223,"RAMOS, JUAN",IL,11,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,juan  ramos,,,,,,
4219,H2IL11249,"RAMOS, JUAN",IL,11,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,juan  ramos,,,,,,
4220,H2IL11256,"RAMOS, JUAN",IL,11,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,juan  ramos,,,,,,
4221,H2IL11231,"RAMOS, JUAN",IL,11,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,juan  ramos,,,,,,
4222,H2IL11215,"RAMOS, JUAN",IL,11,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,juan  ramos,,,,,,
4223,H2TX38023,"RAMSEY, MARK",TX,38,REPUBLICAN PARTY,House,Open seat,C,,,,Republican,mark  ramsey,https://ballotpedia.org/Mark_Ramsey,ramseyfortxcd38,,No tweets found.,Name not found.,
4225,H0MT00074,"RANKIN, SAM",MT,2,LIBERTARIAN PARTY,House,Challenger,C,,,,Other,sam  rankin,https://ballotpedia.org/Sam_Rankin,,,,,
4226,H2CA33188,"RAPHAEL, PATRICK JEAN",CA,33,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,patrick  raphael,,,,,,
4228,H2NY20125,"RAR, ROSTISLAV",NY,20,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,rostislav  rar,https://ballotpedia.org/Rostislav_Rar,rarrostislav,1395453003272966145,,,
4229,H2CA48129,"RASCON, MATTHEW G.",CA,48,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,matthew  rascon,https://ballotpedia.org/Matthew_Rascon,matthewrascon1,1509480052928352262,,,
4231,H2OR01257,"RASCON, NICHOLAS",OR,1,OTHER,House,Challenger,N,,,,Other,nicholas  rascon,,,,,,
4232,H6MD08457,"RASKIN, JAMIE",MD,8,DEMOCRATIC PARTY,House,Incumbent,C,R000606,Jamie Raskin,412708.0,Democrat,jamie  raskin,https://ballotpedia.org/Jamie_Raskin,jamie_raskin,549579841,,,
4233,H6MD08457,"RASKIN, JAMIE",MD,8,DEMOCRATIC PARTY,House,Incumbent,C,R000606,Jamie Raskin,412708.0,Democrat,jamie  raskin,https://ballotpedia.org/Jamie_Raskin,repraskin,806906355214852096,,,
4235,H2NY03154,"RASOOL, REEMA",NY,3,DEMOCRATIC PARTY,House,Open seat,P,,,,Democrat,reema  rasool,https://ballotpedia.org/Reema_Rasool,reemarasool,354650675,,,
4236,H2PA15123,"RATHMELL, GEORGE",PA,15,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,george  rathmell,,,,,,
4238,H2CA40084,"RATHS, GREG",CA,40,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,greg  raths,https://ballotpedia.org/Greg_Raths,gregraths,,No tweets found.,Name not found.,
4239,H2CA17124,"RAVUL, RAO",CA,17,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,rao  ravul,,,,,,
4241,H2WA03175,"RAY, DAVY",WA,3,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,davy  ray,https://ballotpedia.org/Davy_Ray,davyforcongress,1443963005126029317,,,
4242,H2KY03214,"RAY, STUART N.",KY,3,REPUBLICAN PARTY,House,Open seat,P,,,,Republican,stuart  ray,https://ballotpedia.org/Stuart_Ray,,,,,
4243,H2FL15134,"RAYBON, JENNIFER SUSAN",FL,18,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,jennifer  raybon,https://ballotpedia.org/Jennifer_Raybon,,,,,
4244,H2NY24184,"RAYBURN, FLOYD MR.",NY,24,REPUBLICAN PARTY,House,Open seat,P,,,,Republican,floyd  rayburn,,,,,,
4245,H8WI05124,"RAYMOND, ROBERT R.",WI,4,INDEPENDENT,House,Challenger,N,,,,Other,robert  raymond,https://ballotpedia.org/Robert_Raymond,,,,,
4246,H2FL13246,"RAYNER, MICHELE K. MS.",FL,13,DEMOCRATIC PARTY,House,Open seat,C,,,,Democrat,michele  rayner,,,,,,
4247,H2AL02208,"REALZ, JONATHAN",AL,2,LIBERTARIAN PARTY,House,Challenger,N,,,,Other,jonathan  realz,,,,,,
4248,H2IL16123,"REBRESH, MICHAEL STEPHAN MR",IL,16,REPUBLICAN PARTY,House,Open seat,P,,,,Republican,michael  rebresh,https://ballotpedia.org/Michael_Rebresh,,,,,
4249,H6MN02206,"RECHTZIGEL, GENE",MN,4,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,gene  rechtzigel,https://ballotpedia.org/Gene_Rechtzigel,,,,,
4250,H2CA00153,"RECILE, RUDY",CA,8,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,rudy  recile,https://ballotpedia.org/Rudy_Recile,rudy4uscongress,1431718014173384706,,,
4252,H2NY23129,"RECOTTA, JAMES P",NY,23,REPUBLICAN PARTY,House,Open seat,N,,,,Republican,james  recotta,,,,,,
4253,H2TX12093,"RECTOR, CHRISTOPHER D.",TX,0,NONE,House,Challenger,N,,,,Other,christopher  rector,,,,,,
4254,H2OH01178,"REDDEN, SAVANNA",OH,1,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,savanna  redden,,,,,,
4255,H2VT01084,"REDIC, ERICKA L MRS.",VT,0,LIBERTARIAN PARTY,House,Open seat,C,,,,Other,ericka  redic,https://ballotpedia.org/Ericka_Redic,erickaredic,1495582216205783042,,,
4257,H2GA08061,"REECE, MICHAEL MR.",GA,8,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,michael  reece,,,,,,
4259,H2TX38049,"REED, CENTRELL MS.",TX,38,DEMOCRATIC PARTY,House,Open seat,C,,,,Democrat,centrell  reed,https://ballotpedia.org/Centrell_Reed,thecentrell,843673355509293056,,,
4260,H2MO02185,"REED, RAYMOND",MO,2,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,raymond  reed,https://ballotpedia.org/Raymond_Reed,rayreedmo,3401967448,,,
4262,H0NY29054,"REED, THOMAS W",NY,23,REPUBLICAN PARTY,House,Incumbent,C,R000585,Tom Reed (New York),412393.0,Republican,thomas  reed,,,,,,
4263,H2AZ07203,"REETZ, DAVID ""RIZZO""",AZ,7,WRITE-IN,House,Challenger,N,,,,Other,david  reetz,,,,,,
4264,H2VA10216,"REEVES, BRYCE",VA,7,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,bryce  reeves,https://ballotpedia.org/Bryce_Reeves,reevesva,124560631,,,
4266,H6NC03161,"REEVES, ERNEST T",NC,1,REPUBLICAN PARTY,House,Open seat,N,,,,Republican,ernest  reeves,https://ballotpedia.org/Ernest_Reeves,,,,,
4267,H2NY23236,"REGENOR, JAMES ALLEN COL",NY,23,WRITE-IN,House,Open seat,N,,,,Other,james  regenor,,,,,,
4269,H2IL01398,"REGNIER, JEFFERY",IL,1,REPUBLICAN PARTY,House,Open seat,N,,,,Republican,jeffery  regnier,https://ballotpedia.org/Jeff_Regnier,regniercongress,1504174337980604424,,,
4271,H0TX07220,"REHMAN, LAIQUE",TX,7,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,laique  rehman,https://ballotpedia.org/Laique_Rehman,laiquerehman1,1201926060927016960,,,
4272,H2SC07223,"REICHERT, STEVE",SC,7,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,steve  reichert,,,,,,
4273,H2CO07204,"REICHERT, TIM",CO,7,REPUBLICAN PARTY,House,Open seat,C,,,,Republican,tim  reichert,https://ballotpedia.org/Tim_Reichert,timreichertco,1486133708784607241,,,
4275,H2TX02136,"REID, RAYNA",TX,2,DEMOCRATIC PARTY,House,Challenger,C,,,,Democrat,rayna  reid,,,,,,
4276,H2MN01280,"REISDORF, RICHARD B",MN,1,OTHER,House,Open seat,N,,,,Other,richard  reisdorf,https://ballotpedia.org/Richard_Reisdorf,,,,,
4278,H2IL13161,"REISING, JESSE",IL,13,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,jesse  reising,https://ballotpedia.org/Jesse_Reising,jessereisingil,1483850019853647875,No tweets found.,,
4279,H2CA36447,"REISS, JONATHAN",CA,25,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,jonathan  reiss,https://ballotpedia.org/Jonathan_Reiss,jonathan__reiss,977330306893017089,,,
4281,H2NC11148,"REMILLARD, JOSHUA",NC,13,DEMOCRATIC PARTY,House,Challenger,C,,,,Democrat,joshua  remillard,,,,,,
4282,H2AL01218,"REMREY, ALEXANDER M.",AL,1,LIBERTARIAN PARTY,House,Challenger,N,,,,Other,alexander  remrey,,,,,,
4283,H8PA18199,"RESCHENTHALER, GUY MR.",PA,14,REPUBLICAN PARTY,House,Incumbent,C,R000610,Guy Reschenthaler,412813.0,Republican,guy  reschenthaler,https://ballotpedia.org/Guy_Reschenthaler,greschenthaler,4205133682,,,
4284,H8PA18199,"RESCHENTHALER, GUY MR.",PA,14,REPUBLICAN PARTY,House,Incumbent,C,R000610,Guy Reschenthaler,412813.0,Republican,guy  reschenthaler,https://ballotpedia.org/Guy_Reschenthaler,reschenthaler,477223342,,,
4285,H2GA10133,"REUTER, KIMBERLY ANN CLARK",GA,6,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,kimberly  reuter,,,,,,
4287,H2AK00218,"REVAK, JOSHUA CARL",AK,0,REPUBLICAN PARTY,House,Open seat,C,,,,Republican,joshua  revak,https://ballotpedia.org/Josh_Revak,joshrevak,273624397,,,
4288,H2WA02268,"REVELLE, DOUG ""YOSHE""",WA,2,NO PARTY PREFERENCE,House,Challenger,N,,,,Other,doug  revelle,https://ballotpedia.org/Doug_Revelle,,,,,
4289,H2TX08174,"REVIS, CHRISTOPHER JOHN",TX,8,REPUBLICAN PARTY,House,Open seat,N,,,,Republican,christopher  revis,,,,,,
4290,H2HI01138,"REYES, ARTURO",HI,1,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,arturo  reyes,https://ballotpedia.org/Arturo_Reyes,,,,,
4291,H2HI02144,"REYES, ARTURO PACHEO",HI,1,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,arturo  reyes,https://ballotpedia.org/Arturo_Reyes,,,,,
4293,H2AR02103,"REYNOLDS, CONRAD E",AR,2,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,conrad  reynolds,https://ballotpedia.org/Conrad_Reynolds,colonelreynolds,,,Name not found.,
4294,H2MO07119,"REYNOLDS, DERRAL",MO,7,REPUBLICAN PARTY,House,Open seat,N,,,,Republican,derral  reynolds,,,,,,
4296,H2OR01216,"REYNOLDS, STEVEN CODY",OR,6,DEMOCRATIC PARTY,House,Open seat,P,,,,Democrat,steven  reynolds,https://ballotpedia.org/Steven_Cody_Reynolds_(Oregon),codyfororegon,,No tweets found.,Name not found.,
4297,H2IN09209,"REZAEI, BABAK",IN,9,DEMOCRATIC PARTY,House,Open seat,N,,,,Democrat,babak  rezaei,,,,,,
4298,H2CA30275,"RHODES, AARIKA SAMONE",CA,32,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,aarika  rhodes,https://ballotpedia.org/Aarika_Rhodes,aarikarhodes,1293897127,,,
4300,H2CO03286,"RHODES, KELLIE",CO,3,DEMOCRATIC PARTY,House,Challenger,C,,,,Democrat,kellie  rhodes,,,,,,
4302,H4NY04075,"RICE, KATHLEEN",NY,4,DEMOCRATIC PARTY,House,Incumbent,P,R000602,Kathleen Rice,412647.0,Democrat,kathleen  rice,,kathleenrice,82423741,,,
4304,H8IL09174,"RICE, MAXWELL",IL,9,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,maxwell  rice,https://ballotpedia.org/Max_Rice,checkrice,1206625951716646912,,,
4305,H2SC07066,"RICE, TOM",SC,7,REPUBLICAN PARTY,House,Incumbent,P,R000597,Tom Rice (South Carolina),412572.0,Republican,tom  rice,https://ballotpedia.org/Tom_Rice_(South_Carolina),tomricesc7,,No tweets found.,Name not found.,
4307,H0MO07279,"RICHARDS, AUDREY",MO,7,REPUBLICAN PARTY,House,Open seat,N,,,,Republican,audrey  richards,https://ballotpedia.org/Audrey_Richards,audrey4congress,1188561602905329669,,,
4309,H2GA10257,"RICHARDS, MATT",GA,10,REPUBLICAN PARTY,House,Open seat,P,,,,Republican,matt  richards,,,,,,
4310,H2IL12148,"RICHARDSON, KEITH GARTH RABBI",IL,12,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,keith  richardson,,,,,,
4311,H2NC07112,"RICHARDSON, MONTEL SHAMAR",NC,7,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,montel  richardson,,,,,,
4312,H2SC07173,"RICHARDSON, WILLIAM KENNETH",SC,7,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,william  richardson,,,,,,
4314,H8LA02054,"RICHMOND, CEDRIC L",LA,2,DEMOCRATIC PARTY,House,Incumbent,N,R000588,Cedric Richmond,412432.0,Democrat,cedric  richmond,,reprichmond,267854863,,,
4315,H2CA33246,"RICHTER, ERNEST HAROLD",CA,33,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,ernest  richter,https://ballotpedia.org/Ernest_Richter,,,,,
4316,H2CA45174,"RICHTER, JENNIFER MS.",CA,45,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,jennifer  richter,,,,,,
4317,H2CO06172,"RICKERSON, GLENN III",CO,6,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,glenn  rickerson,,,,,,
4318,H2NH02252,"RIDDLE, JASON DANIEL",NH,2,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,jason  riddle,,,,,,
4319,H2MI13378,"RIDDLE, SAMUEL LEWIS JR",MI,13,DEMOCRATIC PARTY,House,Challenger,C,,,,Democrat,samuel  riddle,https://ballotpedia.org/Sam_Riddle,samriddle,18671044,,,
4322,H2UT02456,"RIDER, ERIN CHRISTINE",UT,2,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,erin  rider,https://ballotpedia.org/Erin_Rider,erinriderut,,No tweets found.,Name not found.,
4323,H2NY22188,"RIDLEY, MIKAYLA",NY,22,DEMOCRATIC PARTY,House,Challenger,C,,,,Democrat,mikayla  ridley,,,,,,
4324,H2OH09189,"RIEDEL, CRAIG",OH,9,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,craig  riedel,https://ballotpedia.org/Craig_Riedel,,,,,
4325,H2TX12119,"RIEG, ALYSIA",TX,12,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,alysia  rieg,https://ballotpedia.org/Alysia_Rieg,alysiarieg,898861406,,,
4327,H2IN03210,"RIESEN, CORY",IN,3,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,cory  riesen,,,,,,
4329,H2CA08255,"RILEY, CHRISTOPHER",CA,8,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,christopher  riley,https://ballotpedia.org/Christopher_Riley_(California),rileyforca8,1497311458719256579,,,
4330,H8NY22177,"RILEY, JOSH",NY,19,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,josh  riley,https://ballotpedia.org/Josh_Riley,,,,,
4331,H4DC00092,"RIMENSNYDER, NELSON F",DC,0,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,nelson  rimensnyder,,,,,,
4332,H2TX66016,"RINGNESS, JESSE",TX,66,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,jesse  ringness,,,,,,
4333,H2CA42163,"RIOS, ANGEL ANTHONY MR.",CA,42,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,angel  rios,,,,,,
4335,H2NC12211,"RIOS, FRANCISCO",NC,9,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,francisco  rios,https://ballotpedia.org/Francisco_Rios,riosvote,1382115484749983750,,,
4336,H2OH12126,"RIPPEL-ELTON, AMY MRS.",OH,12,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,amy  rippelelton,https://ballotpedia.org/Amy_Rippel-Elton,,,,,
4337,H0NJ10216,"RIVERA, ANA ISABEL",NJ,8,REPUBLICAN PARTY,House,Open seat,N,,,,Republican,ana  rivera,https://ballotpedia.org/Ana_Rivera,,,,,
4338,H2NY10324,"RIVERA, CARLINA",NY,10,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,carlina  rivera,https://ballotpedia.org/Carlina_Rivera,cmcarlinarivera,707774032473694211,,,
4339,H2NY10324,"RIVERA, CARLINA",NY,10,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,carlina  rivera,https://ballotpedia.org/Carlina_Rivera,carlinarivera,2172163683,,,
4341,H2VA03088,"RIVERA, LUIS ENRIQUE",VA,3,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,luis  rivera,,,,,,
4342,H2NJ11202,"RIZZO, PHIL",NJ,7,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,phil  rizzo,https://ballotpedia.org/Philip_Rizzo,jerseyrizzo,373364557,,,
4344,H0RI02246,"ROBBIO, DONALD F.",RI,2,REPUBLICAN PARTY,House,Open seat,N,,,,Republican,donald  robbio,,,,,,
4345,H2NC02311,"ROBERSON, CHARLES BRENT",NC,1,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,charles  roberson,,,,,,
4346,H2MI13295,"ROBERSON, PORTIA",MI,13,DEMOCRATIC PARTY,House,Challenger,C,,,,Democrat,portia  roberson,https://ballotpedia.org/Portia_Roberson,plroberson,23817652,,,
4347,H2MI13295,"ROBERSON, PORTIA",MI,13,DEMOCRATIC PARTY,House,Challenger,C,,,,Democrat,portia  roberson,https://ballotpedia.org/Portia_Roberson,portiaforcong13,1496195711150530567,,,
4349,H2NC02253,"ROBERSON, SANDY",NC,2,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,sandy  roberson,,,,,,
4351,H2OK02216,"ROBERTS, DUSTIN",OK,2,REPUBLICAN PARTY,House,Open seat,P,,,,Republican,dustin  roberts,https://ballotpedia.org/Dustin_Roberts,dustinrobertsok,3222976910,,,
4353,H2AL05169,"ROBERTS, JOHN",AL,5,REPUBLICAN PARTY,House,Open seat,C,,,,Republican,john  roberts,https://ballotpedia.org/John_Roberts_(Alabama),johnrobertsal,1419777202737065986,,,
4354,H2CA12182,"ROBERTS, JOSEPH C MR.",CA,12,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,joseph  roberts,,,,,,
4355,H2OK03115,"ROBERTS, KEVIN SEAN",OK,3,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,kevin  roberts,,,,,,
4357,H2FL07263,"ROBERTS, RUSSELL L. MR.",FL,7,REPUBLICAN PARTY,House,Open seat,P,,,,Republican,russell  roberts,https://ballotpedia.org/Russell_Roberts_(Florida),rustyrobertsfl,1544388027061092355,,,
4359,H2NY22204,"ROBERTS, SAM",NY,22,DEMOCRATIC PARTY,House,Challenger,C,,,,Democrat,sam  roberts,https://ballotpedia.org/Sam_Roberts,samrobertsny,1484973038441570312,,,
4360,H8OH06133,"ROBERTS, SHAWNA",OH,6,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,shawna  roberts,https://ballotpedia.org/Shawna_Roberts,,,,,
4362,H2MO01229,"ROBERTS, STEVEN C",MO,1,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,steven  roberts,https://ballotpedia.org/Steve_Roberts_(Missouri_state_legislator),robertsforstl,4785820572,,,
4363,H2FL04153,"ROBERTSON, AL",FL,4,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,al  robertson,,,,,,
4364,H0TX03104,"ROBERTSON, AL D",TX,3,DEMOCRATIC PARTY,House,Open seat,N,,,,Democrat,al  robertson,,,,,,
4365,H2OR01299,"ROBERTSON, CHRISTIAN",OR,1,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,christian  robertson,https://ballotpedia.org/Christian_Robertson,,,,,
4366,H2NV03153,"ROBERTSON, MARK",NV,1,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,mark  robertson,https://ballotpedia.org/Mark_Robertson_(Nevada),robertsonfornv,1342204720065048576,,,
4368,H2NC04184,"ROBERTSON, NAT",NC,4,REPUBLICAN PARTY,House,Open seat,N,,,,Republican,nat  robertson,,,,,,
4369,H2GA02171,"ROBERTSON, RICHARD M",GA,2,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,richard  robertson,https://ballotpedia.org/Richard_Robertson_(Georgia),,,,,
4370,H2FL03205,"ROBINSON, ANDREW PRESTON MR.",FL,3,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,andrew  robinson,,,,,,
4371,H2NY10142,"ROBINSON, BRIAN JEFFREY",NY,10,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,brian  robinson,https://ballotpedia.org/Brian_Robinson,votebrian,1484294034038394881,,,
4373,H2OK02331,"ROBINSON, BULLDOG BEN",OK,2,INDEPENDENT,House,Challenger,N,,,,Other,bulldog  robinson,,,,,,
4374,H2NC10124,"ROBINSON, GARY THOMAS",NC,10,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,gary  robinson,https://ballotpedia.org/Gary_Robinson,,,,,
4375,H2CT34016,"ROBINSON, TIMOTHY BRENT MR",CT,34,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N,,,,Other,timothy  robinson,,,,,,
4376,H2PA02162,"ROBLES, ALBERT IVAN",PA,2,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,albert  robles,,,,,,
4377,H2MD08183,"ROCA, MARIELA",MD,6,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,mariela  roca,https://ballotpedia.org/Mariela_Roca,,,,,
4378,H4TX30067,"ROCELLERPITTS, ANGEIGH JEANNEAN",TX,30,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,angeigh  rocellerpitts,https://ballotpedia.org/Angeigh_Roc'ellerpitts,,,,,
4379,H2CA46164,"ROCHA JR., FELIX",CA,46,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,felix  rocha,https://ballotpedia.org/Felix_Rocha,,,,,
4380,H2MI06125,"ROCHA, JON",MI,6,REPUBLICAN PARTY,House,Open seat,C,,,,Republican,jon  rocha,,,,,,
4381,H2CA50208,"ROCHA, JOSEPH C.",CA,50,DEMOCRATIC PARTY,House,Challenger,C,,,,Democrat,joseph  rocha,,,,,,
4382,H2TX30236,"RODGERS, JAMES BYRON MR.",TX,30,REPUBLICAN PARTY,House,Open seat,P,,,,Republican,james  rodgers,https://ballotpedia.org/James_Rodgers,drjamesbrodgers,1466152668779401218,,,
4383,H2TX30236,"RODGERS, JAMES BYRON MR.",TX,30,REPUBLICAN PARTY,House,Open seat,P,,,,Republican,james  rodgers,https://ballotpedia.org/James_Rodgers,rodgerstx30,1478245874371338243,,,
4385,H2PA03137,"RODILL, AUSTIN MR.",PA,3,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,austin  rodill,,,,,,
4386,H2MA08082,"RODRIGUES, HAMILTON SOARES",MA,8,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,hamilton  rodrigues,https://ballotpedia.org/Hamilton_Soares_Rodrigues,,,,,
4387,H2CA49242,"RODRIGUEZ, CHRISTOPHER",CA,49,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,christopher  rodriguez,,,,,,
4388,H2TX35136,"RODRIGUEZ, EDUARDO R.",TX,35,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,eduardo  rodriguez,https://ballotpedia.org/Eddie_Rodriguez,eddiefortexas,21421710,,,
4390,H2TX34154,"RODRIGUEZ, JAIME ALFONSO MR.",TX,34,DEMOCRATIC PARTY,House,Challenger,C,,,,Democrat,jaime  rodriguez,,,,,,
4391,H2CO08129,"RODRIGUEZ, JOSHUA",CO,4,LIBERTARIAN PARTY,House,Open seat,N,,,,Other,joshua  rodriguez,,,,,,
4392,H2TX02128,"RODRIGUEZ, LUCIA S",TX,2,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,lucia  rodriguez,,,,,,
4393,H2TX35250,"RODRIGUEZ, MICHAEL",TX,35,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,michael  rodriguez,https://ballotpedia.org/Michael_Rodriguez_(Texas),,,,,
4394,H0TX34018,"RODRIGUEZ, OSBERT GAMALIEL",TX,34,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,osbert  rodriguez,,,,,,
4396,H2TX28115,"RODRIGUEZ, ROLANDO D MR.",TX,28,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,rolando  rodriguez,https://ballotpedia.org/Rolando_Rodriguez,rolando4usd28,1473503072345276418,No tweets found.,,
4397,H2AZ09159,"RODRIGUEZ, SAUL A",AZ,9,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,saul  rodriguez,,,,,,
4398,H2CA28170,"RODRIGUEZ, TONY",CA,30,INDEPENDENT,House,Challenger,N,,,,Other,tony  rodriguez,https://ballotpedia.org/Tony_Rodriguez,forrodriguezd28,1501347260013056005,,,
4400,H2WI01100,"ROE, ANN",WI,1,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,ann  roe,https://ballotpedia.org/Ann_Roe,annsroe,,No tweets found.,Name not found.,
4402,H2MI10143,"ROGENSUES, ANGELA",MI,10,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,angela  rogensues,https://ballotpedia.org/Angela_Rogensues,angelarogensues,44982141,,,
4404,H0DE00159,"ROGERS, DAVID L.",DE,0,OTHER,House,Challenger,N,,,,Other,david  rogers,https://ballotpedia.org/David_Rogers_(Delaware),,,,,
4405,H6OK03165,"ROGERS, EVELYN L (LOUISE)",OK,1,INDEPENDENT,House,Challenger,N,,,,Other,evelyn  rogers,https://ballotpedia.org/Evelyn_Rogers,,,,,
4406,H0KY05015,"ROGERS, HAROLD DALLAS",KY,5,REPUBLICAN PARTY,House,Incumbent,N,R000395,Harold Rogers,400340.0,Republican,harold  rogers,https://ballotpedia.org/Hal_Rogers,rephalrogers,550401754,,,
4407,H0KY05015,"ROGERS, HAROLD DALLAS",KY,5,REPUBLICAN PARTY,House,Incumbent,N,R000395,Harold Rogers,400340.0,Republican,harold  rogers,https://ballotpedia.org/Hal_Rogers,halrogersky5,1273612350197825536,,,
4408,H2AL03032,"ROGERS, MICHAEL",AL,3,REPUBLICAN PARTY,House,Incumbent,C,R000575,Mike Rogers (Alabama),400341.0,Republican,michael  rogers,https://ballotpedia.org/Mike_Rogers_(Alabama),repmikerogersal,33977070,,,
4409,H2AL03032,"ROGERS, MICHAEL",AL,3,REPUBLICAN PARTY,House,Incumbent,C,R000575,Mike Rogers (Alabama),400341.0,Republican,michael  rogers,https://ballotpedia.org/Mike_Rogers_(Alabama),mikerogerscamp,76069325,,,
